error_rate,response_time,api_failures,user_adoption,cpu_usage,memory_usage,rollout_percentage,action
2.27,187.0,12,35.1,23.9,48.9,10.0,Pause
3.72,245.2,16,25.5,45.8,28.4,100.0,Disable
0.16,72.3,1,65.4,18.8,51.8,50.0,Continue
0.61,63.2,3,69.6,34.7,44.7,25.0,Continue
5.24,413.8,21,68.7,41.3,52.0,25.0,Disable
0.92,166.6,4,40.8,24.5,39.1,10.0,Continue
0.05,96.9,3,42.7,30.0,34.2,100.0,Continue
0.57,151.7,4,45.1,26.6,32.7,10.0,Continue
0.17,75.8,4,75.2,15.0,44.1,50.0,Continue
3.3,398.9,17,28.3,44.4,40.5,25.0,Disable
2.71,232.0,10,66.0,32.4,56.2,100.0,Pause
0.91,176.7,6,55.8,38.2,35.6,25.0,Pause
1.08,182.7,4,31.8,31.4,44.6,50.0,Continue
0.82,131.3,4,91.6,21.0,75.7,50.0,Pause
0.05,114.4,1,38.7,31.7,41.1,10.0,Continue
3.06,323.7,12,15.2,40.6,30.5,50.0,Disable
0.96,123.0,3,45.9,21.8,26.5,25.0,Continue
2.06,324.3,10,35.4,52.5,28.8,10.0,Pause
1.16,123.6,7,39.2,26.7,31.5,25.0,Continue
5.19,341.0,18,58.9,49.8,35.9,25.0,Disable
1.34,146.6,7,29.2,18.5,37.1,75.0,Pause
2.13,242.3,9,38.2,60.1,31.8,25.0,Disable
4.86,374.8,16,68.8,60.2,45.3,10.0,Disable
0.06,62.9,2,54.4,47.4,50.8,25.0,Continue
3.25,249.2,13,72.3,44.0,44.3,100.0,Disable
2.3,397.9,14,84.0,51.3,71.3,25.0,Disable
0.18,178.6,3,27.4,36.9,47.0,25.0,Continue
2.59,191.8,11,57.2,34.6,42.9,10.0,Pause
2.23,163.2,10,31.1,45.8,28.5,10.0,Pause
0.1,126.2,3,69.7,35.3,52.4,25.0,Continue
10.91,655.8,41,80.5,72.3,54.2,100.0,Disable
4.26,267.7,16,21.1,46.2,42.4,100.0,Disable
0.2,214.4,5,22.0,35.9,37.2,50.0,Continue
0.57,106.5,4,13.6,37.4,20.0,75.0,Continue
2.9,335.6,11,79.0,42.5,43.4,10.0,Disable
0.27,112.6,3,50.4,37.5,48.5,25.0,Continue
0.21,181.1,3,61.1,15.0,43.0,10.0,Continue
3.25,288.3,15,40.8,62.7,39.0,50.0,Disable
0.39,90.0,4,57.3,25.1,53.6,50.0,Continue
0.97,89.4,6,92.7,31.8,45.7,10.0,Pause
2.92,321.3,12,11.1,38.4,25.2,75.0,Disable
1.81,281.5,8,18.2,32.3,46.8,100.0,Pause
5.09,353.6,18,11.2,43.8,30.5,10.0,Disable
2.37,351.4,8,38.5,37.0,41.6,100.0,Pause
6.54,496.9,22,42.2,64.7,50.2,50.0,Disable
0.17,124.1,3,47.6,39.6,40.9,75.0,Continue
1.03,184.2,6,74.1,55.3,60.5,75.0,Pause
7.71,650.5,27,31.6,88.6,35.9,10.0,Disable
1.31,145.0,5,65.8,49.3,63.2,75.0,Pause
0.76,153.4,4,38.1,21.9,44.7,10.0,Continue
0.05,64.7,2,10.9,16.7,43.2,10.0,Continue
5.69,319.8,24,94.4,51.3,53.5,25.0,Disable
0.55,69.6,2,26.8,25.7,26.0,25.0,Continue
0.85,148.2,6,63.4,40.0,49.8,25.0,Pause
2.21,306.7,8,27.6,25.9,30.0,100.0,Pause
5.61,434.4,24,31.4,65.4,38.9,75.0,Disable
0.12,64.6,2,89.9,28.3,60.3,10.0,Continue
1.24,145.4,4,69.2,37.8,37.4,25.0,Pause
2.05,227.7,9,8.2,43.7,20.0,25.0,Disable
0.98,151.3,4,10.2,22.5,31.6,25.0,Continue
1.37,346.5,9,75.9,61.5,63.2,50.0,Pause
0.33,104.9,4,71.8,15.0,52.3,10.0,Continue
0.72,253.6,4,6.0,23.4,35.9,25.0,Continue
2.17,361.0,8,71.4,47.5,42.9,25.0,Disable
0.27,101.9,2,91.2,29.3,58.8,50.0,Continue
1.28,265.5,6,46.8,72.0,40.0,75.0,Disable
1.8,143.0,6,44.1,41.5,41.9,25.0,Pause
0.82,131.8,2,51.9,51.5,41.7,100.0,Continue
2.28,340.4,9,74.4,67.9,46.4,50.0,Disable
1.17,154.1,8,68.4,27.0,66.8,10.0,Pause
2.36,350.2,12,86.5,46.7,70.8,10.0,Disable
1.41,207.3,7,82.9,23.2,60.2,100.0,Pause
2.31,203.2,10,64.5,43.2,62.3,50.0,Pause
0.07,50.0,1,73.3,20.9,61.4,75.0,Continue
0.42,50.0,1,19.7,25.8,42.0,50.0,Continue
2.85,247.5,11,29.7,32.9,34.2,100.0,Pause
0.98,326.1,4,78.5,64.7,61.2,50.0,Pause
9.54,620.6,35,46.2,52.9,37.8,100.0,Disable
1.49,233.4,9,60.2,37.2,38.9,10.0,Pause
1.03,125.9,5,24.3,15.0,28.3,10.0,Continue
9.34,714.5,34,47.9,81.5,51.8,50.0,Disable
0.88,118.6,3,94.2,20.9,50.6,25.0,Continue
1.78,323.3,8,79.1,35.9,47.3,50.0,Disable
1.58,220.4,6,70.6,31.8,44.9,10.0,Pause
2.76,379.6,11,7.3,41.6,20.0,100.0,Disable
0.28,154.3,1,61.0,29.9,51.0,100.0,Continue
0.92,50.0,7,40.8,27.9,37.6,100.0,Continue
2.2,292.9,10,27.6,23.6,40.1,25.0,Pause
0.06,163.5,2,70.4,33.3,43.5,75.0,Continue
2.66,213.5,12,12.1,44.1,27.9,10.0,Pause
2.62,372.6,10,29.9,57.9,26.1,10.0,Disable
0.1,69.9,1,65.6,16.3,27.8,10.0,Continue
1.35,141.2,4,70.9,33.9,45.7,100.0,Continue
6.82,522.7,25,68.3,62.7,56.6,100.0,Disable
3.15,347.0,12,66.2,56.5,44.8,75.0,Disable
0.1,50.0,3,76.7,16.0,62.4,100.0,Continue
2.88,174.2,11,37.9,43.1,42.0,10.0,Disable
2.87,274.6,12,48.6,42.9,46.1,50.0,Pause
2.69,232.7,10,40.9,32.2,36.5,10.0,Pause
0.45,87.8,1,33.4,24.5,28.4,25.0,Continue
4.22,245.5,17,42.5,57.3,25.8,50.0,Disable
0.23,183.3,4,6.4,53.8,26.4,50.0,Pause
0.76,185.9,4,22.9,45.2,27.3,75.0,Continue
2.37,107.2,13,80.5,28.0,66.0,10.0,Pause
0.05,78.3,2,9.7,44.8,26.0,100.0,Continue
0.2,50.0,1,74.6,15.0,47.1,50.0,Continue
1.67,175.7,6,67.5,24.2,59.0,50.0,Pause
2.19,240.0,7,11.4,55.3,20.1,100.0,Pause
3.12,297.0,14,92.0,41.5,53.7,10.0,Disable
0.28,123.3,1,91.5,36.3,64.7,10.0,Continue
2.67,297.3,14,93.3,59.3,75.6,10.0,Disable
1.5,131.9,8,14.5,38.5,20.0,75.0,Pause
0.09,50.0,3,82.6,23.2,50.2,100.0,Continue
3.38,229.9,13,51.4,51.6,33.2,50.0,Disable
7.2,491.8,26,27.4,61.8,35.0,100.0,Disable
0.91,252.2,6,20.1,34.7,42.4,100.0,Pause
7.48,521.2,30,73.9,58.6,54.2,75.0,Disable
0.05,190.7,3,67.4,37.1,57.7,75.0,Continue
0.45,163.9,4,29.7,28.7,41.5,50.0,Continue
